Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1856.07568,1707.27637,66.3835373,23.2368526,0.000699105,292.345367,0,0.051816057,1815.3905,0.034110669,0,35.0115814,-0.007851826,0.013808518,-0.034134507,299.105652,0.095383376,0,0.070766978,0
7200,1856.07568,1707.27637,66.3835373,21.2447777,0.000659629,291.620636,0,0.084445506,1760.50537,0.034532595,0,27.4296799,-0.001210836,0.012599673,-0.024663417,296.818817,0.091159254,0,0.102722988,0
10800,1856.07568,1707.27637,66.3835373,20.8245239,0.000676675,290.744904,0,0.044391863,1759.66162,0.039650373,0,38.9146156,0.049071278,0.012165507,-0.06732855,296.783234,0.089106068,0,0.095871218,0
14400,1856.07568,1707.27637,66.3835373,20.9334698,0.000574727,290.965942,0,-0.024533385,1740.95508,0.026048264,0,15.9661636,0.011756138,0.010168438,0.045506522,295.991302,0.081515625,0,0.062450852,0
18000,1856.07568,1707.27637,66.3835373,20.3780956,0.000763815,290.416901,0,0.056401964,1738.71924,0.0320265,0,14.6935863,-0.033116832,0.012909435,-0.002299585,295.89624,0.09190236,0,0.082245171,0
21600,1856.07568,1707.27637,66.3835373,19.6915588,0.000349267,290.351074,0,-0.049134027,1729.5354,0.017110406,0,25.285862,0.010960988,0.006693718,0.100395419,295.50473,0.064624421,0,0.12153969,0
25200,1856.07568,1707.27637,66.3835373,19.954937,0.000500974,291.01828,0,0.103704974,1726.18616,0.022085197,0,32.7104416,-0.004656264,0.008270107,0.051850528,295.361572,0.0735735,0,0.125270009,0
28800,1856.07568,1707.27637,66.3835373,21.6814613,0.00026791,293.46463,0,-0.051079031,1728.61633,0.012918373,0,22.606781,-0.005242354,0.004919693,0.046254203,295.465454,0.056152742,0,0.090273671,0
32400,1856.07568,1707.27637,66.3835373,23.7147007,0.000479517,295.806152,0,0.032510985,1747.18909,0.030673517,0,-3.58681965,0.012604104,0.009800783,0.019349055,296.25592,0.080069475,0,0.050145835,0
36000,1856.07568,1707.27637,66.3835373,23.851511,0.000461584,296.239807,0,-0.051897332,1772.28638,0.035292454,0,-57.1182785,-0.106840082,0.011109458,0.003143301,297.314117,0.083864689,0,0.125897676,0
39600,1856.07568,1707.27637,66.3835373,25.2676411,0.000649273,298.937775,0,0.216135785,1805.55188,0.032311343,0,-87.0105286,0.14982225,0.011726322,0.134795979,298.699493,0.087360472,0,0.297923654,0
43200,1856.07568,1707.27637,66.3835373,26.7635899,0.000652334,298.955841,0,-0.021927778,1853.09241,0.031283613,0,-68.3484039,-0.0732214,0.013005322,0.14736113,300.646515,0.091981374,0,0.179408744,0
46800,1856.07568,1707.27637,66.3835373,28.3481655,0.000470792,299.234375,0,-0.054799821,1902.2981,0.035035908,0,-86.9381409,-0.062637925,0.011252674,0.079546817,302.62262,0.085669436,0,0.123698637,0
50400,1856.07568,1707.27637,66.3835373,31.0899162,5.15E-05,301.76944,0,0.097933956,1962.08301,0.002875203,0,-79.7143402,0.072278135,0.000973699,-0.009935228,304.972687,0.023746586,0,0.123669721,0
54000,1856.07568,1707.27637,66.3835373,33.0120239,0.000286039,302.806,0,0.123690292,2033.78015,0.013411849,0,-83.4313736,0.079907768,0.004746008,-0.028299233,307.721313,0.053132169,0,0.156609669,0
57600,1856.07568,1707.27637,66.3835373,34.8735657,0.000740163,303.2211,0,0.03698349,2088.44043,0.05945171,0,-66.5136337,0.039425679,0.016410388,-0.062832601,309.768524,0.103923395,0,0.086343631,0
61200,1856.07568,1707.27637,66.3835373,35.5982094,0.000440298,303.006378,0,0.03204165,2119.92163,0.035905268,0,-68.4476166,0.052812062,0.009538586,-0.019455876,310.929474,0.079264633,0,0.067707375,0
64800,1856.07568,1707.27637,66.3835373,35.6094971,0.000330547,301.913361,0,0.013066631,2131.18506,0.022170775,0,-53.2663574,0.011586476,0.006649998,0.003418177,311.341705,0.066013254,0,0.039207649,0
68400,1856.07568,1707.27637,66.3835373,33.4095917,0.000910254,302.218506,0,0.2351567,2117.59863,0.053241435,0,-40.6600723,0.186340198,0.020734798,-0.115525998,310.84436,0.117513403,0,0.326902449,0
72000,1856.07568,1707.27637,66.3835373,31.8067265,0.002680871,301.776428,0,0.489922822,2104.95801,0.199077532,0,-10.9595613,0.326377571,0.073973864,-0.038319886,310.379395,0.222025126,0,0.59349966,0
75600,1856.07568,1707.27637,66.3835373,30.1343498,0.002175638,299.532776,0,0.416227788,2073.62915,0.141406938,0,6.66077185,0.102360696,0.059497833,-0.048866272,309.218048,0.198998854,0,0.438529223,0
79200,1856.07568,1707.27637,66.3835373,28.6882839,0.001439731,298.056305,0,0.35262534,2040.7229,0.10907533,0,21.8254738,0.095513247,0.038082738,-0.117104165,307.983948,0.158935919,0,0.389092684,0
82800,1856.07568,1707.27637,66.3835373,27.6807938,0.000430048,296.971069,0,0.257090896,2013.22742,0.023268856,0,20.0166817,0.18558152,0.010010149,-0.098053359,306.941254,0.080064476,0,0.339130908,0
86400,1856.07568,1707.27637,66.3835373,26.7945881,0.000216578,296.611053,0,0.293509692,1992.61829,0.014551821,0,19.9547482,0.224476144,0.005443629,-0.030815862,306.15271,0.059570991,0,0.376270801,0
